strategy_id,asset_key,label,family,profit_factor,trades,total_r,win_rate_pct,max_drawdown_r,variant_id
competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_c8c5223e,aud_usd,Competition AUDUSD Us First30 Last30 Reversal Signalmonth,us_first30_last30_reversal_signalmonth,2.126419,60,9.854813,61.666667,2.817003,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.2|signal_end=585|signal_month=12|signal_start=570
competition_usd_jpy_london_first30_ny_open_momentum_signalweekdayside_direction_same_entryminute_480_e_ce191581,usd_jpy,Competition USDJPY London First30 Ny Open Momentum Signalweekdayside,london_first30_ny_open_momentum_signalweekdayside,2.11915,97,88.508034,53.608247,22.534644,competition_session_edge|family=london_first30_ny_open_momentum_signalweekdayside|direction=same|entry=480|exit=570|min_signal_atr=0.2|signal_end=195|signal_start=180|signal_weekday_side=4_long
competition_eur_cad_daily_tsmom_next_overnight_signalmonth_direction_contrarian_entryminute_945_exitmi_02350a13,eur_cad,Competition EURCAD Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.113445,85,107.271209,60,17.921179,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=contrarian|entry=945|exit=570|lookback=40|signal_month=6
competition_australian_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entrym_77aa2b55,australian_dollar_futures,Competition 6A Us First30 Last30 Reversal Signalmonth,us_first30_last30_reversal_signalmonth,2.090833,61,10.302654,60.655738,2.459982,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_month=12|signal_start=570
competition_japanese_yen_futures_daily_tsmom_next_rth_signalweekdayside_direction_contrarian_entryminu_43aa3fbc,japanese_yen_futures,Competition 6J Daily Tsmom Next Rth Signalweekdayside,daily_tsmom_next_rth_signalweekdayside,2.086373,84,60.378262,65.47619,22.320873,competition_session_edge|family=daily_tsmom_next_rth_signalweekdayside|direction=contrarian|entry=570|exit=945|lookback=5|signal_weekday_side=4_short
competition_silver_futures_london_first30_ny_open_momentum_signalweekdayside_direction_same_entryminut_5ce60b39,silver_futures,Competition SI London First30 Ny Open Momentum Signalweekdayside,london_first30_ny_open_momentum_signalweekdayside,2.079762,80,81.871405,56.25,14.960419,competition_session_edge|family=london_first30_ny_open_momentum_signalweekdayside|direction=same|entry=480|exit=570|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=4_long
competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_5322bb1f,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,london_first30_ny_open_reversal_signalweekdayside,2.062018,115,71.853004,56.521739,10.514024,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.05|signal_end=195|signal_start=180|signal_weekday_side=2_short
competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_61184239,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,london_first30_ny_open_reversal_signalweekdayside,2.062018,115,71.853004,56.521739,10.514024,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.1|signal_end=195|signal_start=180|signal_weekday_side=2_short
competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_80895cdd,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,london_first30_ny_open_reversal_signalweekdayside,2.062018,115,71.853004,56.521739,10.514024,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=2_short
competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_f28a94ed,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,london_first30_ny_open_reversal_signalweekdayside,2.048778,111,70.536407,55.855856,10.514024,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.2|signal_end=195|signal_start=180|signal_weekday_side=2_short
competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_01defe06,new_zealand_dollar_futures,Competition 6N Us First30 Last30 Reversal Signalmonth,us_first30_last30_reversal_signalmonth,2.042944,73,11.399544,58.90411,1.835442,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.1|signal_end=585|signal_month=12|signal_start=570
competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_4242532d,eur_jpy,Competition EURJPY Daily Tsmom Next Rth Signalmonth,daily_tsmom_next_rth_signalmonth,2.037103,85,65.512689,57.647059,12.027574,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=momentum|entry=570|exit=945|lookback=10|signal_month=6
competition_canadian_dollar_futures_daily_tsmom_next_overnight_signalmonth_direction_momentum_entrymin_eee85315,canadian_dollar_futures,Competition 6C Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.019427,82,104.529858,60.97561,28.590402,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=momentum|entry=945|exit=570|lookback=5|signal_month=12
competition_australian_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entrym_bbf594b5,australian_dollar_futures,Competition 6A Us First30 Last30 Reversal Signalmonth,us_first30_last30_reversal_signalmonth,2.016937,54,8.717664,59.259259,2.459982,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570
competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminut_30bfc032,micro_bitcoin_futures,Competition MBT Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.012696,85,118.45362,50.588235,20.367201,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=momentum|entry=945|exit=570|lookback=20|signal_month=10
