status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,australian_dollar_futures,6A,competition_session_edge,best,False,5,,52,2.310101,53,10.590692,2.310101,53,58.490566,10.590692,0.199824,1.430029,2.037862,1.285758,1.998978,1.059949,1.277044,4,1.000000,1.493472,4.415501,sl:4;time_exit:48;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_aud_nzd_london_first30_last30_reversal_weekday_side_0_long_2e0ed4d2,aud_nzd,micro_ether_futures,MET,competition_session_edge,best,True,3,,31,2.410703,37,10.024539,2.304813,37,59.459459,14.670129,0.396490,2.984651,1.908036,1.677951,1.699375,1.208407,1.350141,4,1.000000,1.183896,2.849215,sl:6;sl_gap:3;time_exit:24;tp:4,competition_session_edge|family=london_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=0_long|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,"execution_tf_1m_all_trades,quarter_pf_gt_1,rolling20_pf_p25_gt_1",competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,new_zealand_dollar_futures,6N,competition_session_edge,best,False,3,,43,2.365319,47,8.532723,2.286069,47,59.574468,8.037438,0.171009,2.677983,1.181126,0.940017,0.960615,1.168409,0.915524,4,0.750000,0.476616,2.829854,sl:1;time_exit:45;tp:1,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,execution_tf_1m_all_trades,competition_eur_chf_ny_open_gap_fade_month_9_5044d21c,eur_chf,micro_ether_futures,MET,competition_session_edge,best,True,3,,40,1.754756,49,10.979029,2.227049,49,48.979592,29.373262,0.599454,5.590879,2.107344,1.491227,1.926686,1.343557,1.383519,3,1.000000,1.670008,2.831238,sl:17;sl_gap:6;time_exit:10;tp:14;tp_gap:2,competition_session_edge|family=ny_open_gap_fade_month_9|direction=fade|entry=570|exit=660|min_gap_atr=0.25|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_30y_bond_futures,ZB,competition_session_edge,best,True,3,1m,46,2.211035,46,9.754539,2.211035,46,58.695652,9.754539,0.212055,2.313752,1.609676,0.982990,1.405275,1.225128,1.296422,4,1.000000,1.164017,2.626466,sl:4;time_exit:42,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_30y_bond_futures,ZB,competition_session_edge,best,True,4,1m,46,2.211035,46,9.754539,2.211035,46,58.695652,9.754539,0.212055,2.313752,1.609676,0.982990,1.405275,1.246927,1.286292,4,1.000000,1.164017,3.501955,sl:4;time_exit:42,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,quarter_pf_gt_1,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_30y_bond_futures,ZB,competition_session_edge,best,True,5,1m,46,2.211035,46,9.754539,2.211035,46,58.695652,9.754539,0.212055,2.313752,1.609676,0.982990,1.405275,1.219419,1.328296,4,1.000000,1.164017,4.377443,sl:4;time_exit:42,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
qualified_watch,execution_tf_1m_all_trades,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,best,False,4,,53,2.032219,58,18.906985,2.186102,58,44.827586,18.654804,0.321635,3.676902,2.173392,1.158723,1.452746,1.183360,1.235617,4,1.000000,1.291103,3.875090,sl:25;sl_gap:1;time_exit:28;tp:4,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,execution_tf_1m_all_trades,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,australian_dollar_futures,6A,competition_session_edge,best,False,4,,52,2.310101,53,10.590692,2.176619,53,58.490566,9.511638,0.179465,1.430029,1.822231,1.285758,1.778258,1.016902,1.250108,4,1.000000,1.493472,3.532401,sl:4;time_exit:48;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
qualified_watch,"half_pf_gt_1,quarter_pf_gt_1,annual_walk_forward_pass_rate_ge_60pct",competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,us_treasury_10y_note_futures,ZN,competition_session_edge,best,True,3,1m,49,2.165646,49,8.207730,2.165646,49,61.224490,8.207730,0.167505,3.356935,0.831074,0.712029,1.003297,1.205019,1.031631,4,0.500000,0.734627,2.622982,sl:4;time_exit:45,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
