market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,2.0,16,0.75,-0.1,0.25,68,55,13,80.88235294117648,1.534261154462575,3.1241808823529382
forex,AUDUSD,mean_reversion,0.0001,2.5,6,3.0,-0.1,0.1,46,39,7,84.78260869565217,1.5273476554281034,4.740247826086958
forex,AUDUSD,mean_reversion,0.0001,2.5,10,3.0,-0.1,0.1,46,39,7,84.78260869565217,1.5273476554281034,4.740247826086958
forex,AUDUSD,mean_reversion,0.0001,2.0,6,,-0.05,0.15,125,99,26,79.2,1.5268396434967464,4.711076800000001
forex,AUDUSD,mean_reversion,0.0001,2.0,6,0.75,,,91,71,20,78.02197802197803,1.522890998564362,3.2559934065933893
forex,AUDUSD,mean_reversion,0.0001,1.5,24,2.0,-0.2,0.4,164,122,42,74.39024390243902,1.5215115329580677,3.59640426829273
forex,AUDUSD,mean_reversion,0.0001,2.0,10,,-0.05,0.15,125,98,27,78.4,1.5213165411261136,4.666276000000006
forex,AUDUSD,mean_reversion,0.0001,1.5,6,0.75,-0.1,0.1,65,53,12,81.53846153846153,1.5189172142032228,2.9566769230770036
forex,AUDUSD,mean_reversion,0.0001,1.5,10,,0.0,0.15,118,93,25,78.8135593220339,1.5185930303583348,4.21917796610172
forex,AUDUSD,mean_reversion,0.0001,3.0,24,1.5,-0.2,0.4,98,76,22,77.55102040816327,1.5163725950172116,3.1636510204081554
forex,AUDUSD,mean_reversion,0.0001,2.0,10,0.75,,,90,70,20,77.77777777777779,1.514949391024591,3.2421699999999825
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.0,-0.2,0.4,131,99,32,75.57251908396947,1.5137333574494372,2.768783969465679
forex,AUDUSD,mean_reversion,0.0001,2.0,6,0.75,-0.2,0.4,90,70,20,77.77777777777779,1.513185334471013,3.231063333333314
forex,AUDUSD,mean_reversion,0.0001,2.0,24,0.75,,,81,63,18,77.77777777777779,1.5126781811007384,3.2289111111110866
forex,AUDUSD,mean_reversion,0.0001,2.0,16,,0.0,0.15,98,76,22,77.55102040816327,1.5103788638228481,4.751492857142889
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,-0.2,0.4,101,76,25,75.24752475247524,1.5086519867817099,3.099960396039642
forex,AUDUSD,mean_reversion,0.0001,2.0,10,0.75,-0.2,0.4,89,69,20,77.52808988764045,1.505243726931242,3.216804494382003
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.0,-0.2,0.4,137,104,33,75.91240875912408,1.5031992151923217,2.771374452554771
forex,AUDUSD,mean_reversion,0.0001,1.5,6,0.75,-0.1,0.25,102,81,21,79.41176470588235,1.50252534582243,2.7203470588235743
forex,AUDUSD,mean_reversion,0.0001,2.0,24,0.75,-0.2,0.4,80,62,18,77.5,1.5018975862107449,3.2005262499999745
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,-0.1,0.25,105,83,22,79.04761904761905,1.5013068134290688,2.7453695238095706
forex,AUDUSD,mean_reversion,0.0001,1.5,16,0.75,,,95,74,21,77.89473684210526,1.4882262351639106,2.6339810526316376
forex,AUDUSD,mean_reversion,0.0001,1.5,16,2.0,-0.1,0.1,97,77,20,79.38144329896907,1.4857344823934389,3.5037515463917686
forex,AUDUSD,mean_reversion,0.0001,2.0,6,2.0,-0.1,0.1,68,53,15,77.94117647058823,1.4851637068182364,3.902664705882336
forex,AUDUSD,mean_reversion,0.0001,2.0,16,0.75,,,87,68,19,78.16091954022988,1.4830579092399936,3.065743678160905
forex,AUDUSD,mean_reversion,0.0001,2.0,24,1.5,-0.1,0.1,45,37,8,82.22222222222221,1.4805358458608808,3.5710177777777594
forex,AUDUSD,mean_reversion,0.0001,1.5,16,0.75,-0.2,0.4,94,73,21,77.6595744680851,1.4774956387501934,2.6034946808511212
forex,AUDUSD,mean_reversion,0.0001,2.0,10,2.0,-0.1,0.1,68,52,16,76.47058823529412,1.4739725787462,3.8203102941176392
forex,AUDUSD,mean_reversion,0.0001,2.0,16,0.75,-0.2,0.4,86,67,19,77.90697674418605,1.4730973642054603,3.037441860465101
forex,AUDUSD,mean_reversion,0.0001,3.0,16,1.5,-0.2,0.4,100,77,23,77.0,1.4696378546437805,2.970148999999988
forex,AUDUSD,mean_reversion,0.0001,2.0,6,1.5,0.0,0.15,69,54,15,78.26086956521739,1.467989757442357,3.014527536231887
forex,AUDUSD,mean_reversion,0.0001,2.0,10,1.5,0.0,0.15,68,53,15,77.94117647058823,1.4578648708666908,2.992680882352944
forex,AUDUSD,mean_reversion,0.0001,1.5,24,0.75,-0.05,0.15,50,42,8,84.0,1.456079990059289,2.7821600000000886
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,,,106,82,24,77.35849056603774,1.4531007766423676,2.516257547169855
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.0,-0.1,0.25,121,93,28,76.85950413223141,1.4496642603676064,2.476975206611606
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,-0.2,0.4,105,81,24,77.14285714285715,1.4437580670204484,2.487843809523853
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.0,-0.1,0.25,127,98,29,77.16535433070865,1.442893922630459,2.4935559055118417
forex,AUDUSD,mean_reversion,0.0001,1.5,16,0.75,0.0,0.15,51,42,9,82.35294117647058,1.4421899597117749,2.6442725490197048
forex,AUDUSD,mean_reversion,0.0001,1.5,6,2.0,,,220,166,54,75.45454545454545,1.4398075463974123,2.9847227272727475
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,-0.1,0.1,49,42,7,85.71428571428571,1.4386661920241386,2.866916326530647
forex,AUDUSD,mean_reversion,0.0001,1.5,24,,-0.2,0.4,279,206,73,73.83512544802868,1.4385779566562475,4.402068100358444
forex,AUDUSD,mean_reversion,0.0001,3.0,6,1.5,-0.2,0.4,99,76,23,76.76767676767676,1.4380133639262531,2.798126262626252
forex,AUDUSD,mean_reversion,0.0001,3.0,10,1.5,-0.2,0.4,99,76,23,76.76767676767676,1.4380133639262531,2.798126262626252
forex,AUDUSD,mean_reversion,0.0001,2.5,6,,-0.1,0.1,77,59,18,76.62337662337663,1.4315809240033248,5.145868831168833
forex,AUDUSD,mean_reversion,0.0001,2.5,10,,-0.1,0.1,77,59,18,76.62337662337663,1.4315809240033248,5.145868831168833
forex,AUDUSD,mean_reversion,0.0001,1.5,10,0.75,0.0,0.15,63,51,12,80.95238095238095,1.4312453504813283,2.574563492063558
forex,AUDUSD,mean_reversion,0.0001,2.5,6,1.5,-0.1,0.1,32,27,5,84.375,1.4258204875598839,3.3065812500000096
forex,AUDUSD,mean_reversion,0.0001,2.5,10,1.5,-0.1,0.1,32,27,5,84.375,1.4258204875598839,3.3065812500000096
forex,AUDUSD,mean_reversion,0.0001,1.5,6,2.0,-0.2,0.4,218,164,54,75.22935779816514,1.4235296725872202,2.900623394495436
forex,AUDUSD,mean_reversion,0.0001,2.0,6,,0.0,0.15,99,78,21,78.78787878787878,1.423076349058259,3.8942434343434775
