dataset,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,trades_per_month,active_days,trades_per_active_day,active_weeks,trades_per_active_week,base_trades,base_win_rate_pct,market,symbol
mean_reversion,62,62,0,100.0,99.52432656015718,97.8386076474248,inf,5.747230480977829,0.08524289642529789,0.5967002749770852,2.5945806599450045,62,1.0,44,1.4090909090909092,307,70.03257328990227,futures,CL
mean_reversion,51,51,0,100.0,99.53007518796994,97.68883904741912,inf,7.097221237192658,0.07067178613701319,0.4947025029590923,2.1510724905453387,49,1.0408163265306123,39,1.3076923076923077,266,75.56390977443608,futures,ES
mean_reversion,55,55,0,100.0,99.47254702592781,97.59209553156141,inf,4.401025481237406,0.07564903432861482,0.5295432403003038,2.302567482377214,53,1.0377358490566038,43,1.2790697674418605,281,70.46263345195729,futures,GC
mean_reversion,58,58,0,100.0,99.53320366768548,97.80844571881781,inf,5.055434848665953,0.07956104252400549,0.5569272976680384,2.4216392318244173,57,1.0175438596491229,46,1.2608695652173914,305,72.45901639344262,futures,HG
mean_reversion,50,50,0,100.0,99.47478991596638,97.51017497375155,inf,7.45672212565866,0.07008424710537459,0.49058972973762205,2.133189271269839,49,1.0204081632653061,38,1.3157894736842106,280,73.21428571428571,futures,NG
mean_reversion,53,53,0,100.0,99.48986722571628,97.60706039415236,inf,5.772466731138922,0.07344322873062155,0.5141026011143508,2.235428274488293,53,1.0,43,1.2325581395348837,265,72.45283018867924,futures,NQ
mean_reversion,62,62,0,100.0,99.5472287275566,97.90240219315034,inf,5.706986106265983,0.08510759991420605,0.5957531993994423,2.5904625723886463,61,1.0163934426229508,46,1.3478260869565217,305,71.47540983606558,futures,RTY
mean_reversion,56,56,0,100.0,99.462069808668,97.57957502792969,inf,5.494656658495946,0.07700902449505802,0.5390631714654062,2.3439621830683284,55,1.018181818181818,37,1.5135135135135136,287,69.33797909407666,futures,SI
mean_reversion,61,61,0,100.0,99.5529781321735,97.90566064277493,inf,6.833917999954016,0.08476514438734892,0.5933560107114425,2.580039082289933,61,1.0,45,1.3555555555555556,267,72.28464419475655,futures,YM
mean_reversion,41,41,0,100.0,99.19031585698251,96.51167618165547,inf,5.479720046947635,0.057005474611128815,0.3990383222779017,1.7351041334762334,41,1.0,32,1.28125,297,65.993265993266,futures,ZB
mean_reversion,46,46,0,100.0,99.33740705293383,97.04223489549281,inf,5.528517615682344,0.06361737376647698,0.4453216163653389,1.9363538140171435,46,1.0,33,1.393939393939394,289,68.85813148788927,futures,ZN
mean_reversion,52,52,0,100.0,99.45713339953657,97.49727939048412,inf,4.61216501905298,0.07152272336523584,0.5006590635566509,2.1769728924293656,49,1.0612244897959184,42,1.2380952380952381,285,71.2280701754386,gold_spot,XAUUSD
