market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,20,113,77,36,68.14159292035397,1.3286803332432042,2.0384274336283474,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,50,113,91,22,80.53097345132744,1.3428894966868496,2.505227433628338,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,100,113,94,19,83.1858407079646,2.3186864976199066,5.81653008849559,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,100,200,113,94,19,83.1858407079646,2.1836833410582344,5.5438353982301,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,1,113,15,98,13.274336283185843,1.5937561224489893,0.5149389380531056,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,2,113,19,94,16.8141592920354,1.0281079787234135,0.04676371681417471,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,3,113,29,84,25.663716814159294,1.2153507936508,0.48025132743364196,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,4,113,32,81,28.31858407079646,1.064897839506178,0.18607876106196172,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,5,113,41,72,36.283185840707965,1.2943219444444543,0.9376628318584381,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,8,113,53,60,46.902654867256636,1.2434845323539445,1.0187769911504623,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,10,113,58,55,51.32743362831859,1.1705632020147627,0.8163026548672809,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,20,113,77,36,68.14159292035397,1.3286803332432042,2.0384274336283474,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,50,113,91,22,80.53097345132744,1.3428894966868496,2.505227433628338,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,100,113,94,19,83.1858407079646,2.3186864976199066,5.81653008849559,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,200,200,113,94,19,83.1858407079646,2.1836833410582344,5.5438353982301,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,2,1.5,6,1.5,-0.1,0.1,1,1,98,31,67,31.63265306122449,0.4626865671641791,-0.3673469387755102,98,83.6734693877551,2.2636707420463225,6.010802040816347
forex,AUDUSD,mean_reversion,0.0001,2,1.5,6,1.5,-0.1,0.1,1,2,98,53,45,54.08163265306123,0.5888888888888889,-0.37755102040816324,98,83.6734693877551,2.2636707420463225,6.010802040816347
forex,AUDUSD,mean_reversion,0.0001,2,1.5,6,1.5,-0.1,0.1,1,3,98,67,31,68.36734693877551,0.7204301075268817,-0.2653061224489796,98,83.6734693877551,2.2636707420463225,6.010802040816347
forex,AUDUSD,mean_reversion,0.0001,2,1.5,6,1.5,-0.1,0.1,1,4,98,73,25,74.48979591836735,0.73,-0.2755102040816326,98,83.6734693877551,2.2636707420463225,6.010802040816347
