market,symbol,phase,pip_or_tick_size,round_trip_cost_units,median_atr_units,min_exit_units,max_exit_ratio,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,signal_exit_trades,signal_exit_wins,signal_exit_losses,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,profit_factor_delta_vs_signal_exit,win_rate_delta_vs_signal_exit
futures,GC,mean_reversion,0.1,2.0,39.90946878256639,10,4.0,2.5,6,2.0,-0.05,0.15,30,100,42,37,5,88.09523809523809,1.8226909920182324,34.357142857142435,42,39,3,92.85714285714286,3.5686274509803924,18.714285714285715,1.74593645896216,4.761904761904773
futures,GC,momentum,0.1,2.0,36.738582398644276,10,4.0,3.0,24,0.75,,,300,110,31,22,9,70.96774193548387,1.1418027286960448,20.45161290322629,31,15,16,48.38709677419355,1.6289062500000018,36.35483870967752,0.48710352130395695,-22.58064516129032
futures,HG,mean_reversion,0.0005,2.0,17.369753934051168,6,4.0,2.0,6,0.75,-0.1,0.1,150,300,30,27,3,90.0,33.733333333332304,32.7333333333333,30,27,3,90.0,33.733333333332304,32.7333333333333,0.0,0.0
futures,HG,momentum,0.0005,2.0,18.972089872255765,6,4.0,2.5,6,0.75,,,50,75,44,37,7,84.0909090909091,2.8988529718456717,41.386363636363626,44,34,10,77.27272727272727,1.9428571428571422,16.49999999999999,-0.9559958289885295,-6.818181818181827
futures,NG,mean_reversion,0.001,2.0,14.61984015899854,6,4.0,3.0,6,1.0,-0.2,0.4,500,300,53,44,9,83.01886792452831,2.4008368200836823,31.584905660377366,53,44,9,83.01886792452831,2.5503231763619567,31.679245283018876,0.14948635627827445,0.0
futures,NG,momentum,0.001,2.0,14.584990023685823,6,4.0,2.0,6,0.75,,,500,300,52,43,9,82.6923076923077,1.96446700507614,25.576923076923013,52,43,9,82.6923076923077,1.545350827153449,18.384615384615316,-0.41911617792269085,0.0
futures,NQ,mean_reversion,0.25,2.0,117.8489284614239,30,4.0,3.0,6,1.0,-0.2,0.4,150,500,50,45,5,90.0,3.6232333010648596,270.98,50,44,6,88.0,2.0783532536520584,64.96,-1.5448800474128013,-2.0
futures,NQ,momentum,0.25,2.0,111.49685106067918,28,4.0,2.5,10,1.5,,,500,334,78,68,10,87.17948717948718,4.193348225366096,329.8974358974359,78,48,30,61.53846153846154,1.7421626984126983,95.91025641025641,-2.4511855269533975,-25.641025641025642
futures,RTY,mean_reversion,0.1,2.0,31.399079149527154,8,4.0,2.5,24,2.0,-0.1,0.1,500,500,48,42,6,87.5,5.0164319248826095,71.2916666666667,48,42,6,87.5,3.8119964189794002,65.43750000000006,-1.2044355059032092,0.0
futures,RTY,momentum,0.1,2.0,33.435837971496035,9,4.0,2.0,6,1.5,,,500,300,141,105,36,74.46808510638297,1.8027385537013225,39.91489361702118,141,97,44,68.79432624113475,1.1120303679190187,8.163120567375882,-0.6907081857823039,-5.673758865248217
