market,symbol,phase,pip_or_tick_size,unit_size_pips_or_ticks,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
futures,YM,momentum,1.0,59,63,32,31,50.79365079365079,1.032258064516129,0.9365079365079365
futures,YM,momentum,1.0,79,63,27,36,42.857142857142854,0.7415039768618944,-11.34920634920635
futures,YM,momentum,1.0,100,63,31,32,49.2063492063492,0.8851983231215736,-5.650793650793651
futures,YM,momentum,1.0,200,63,40,23,63.49206349206349,1.0660645161290323,4.063492063492063
futures,ZB,mean_reversion,0.03125,1,40,10,30,25.0,0.3333333333333333,-0.5
futures,ZB,mean_reversion,0.03125,2,40,16,24,40.0,0.6956521739130435,-0.35
futures,ZB,mean_reversion,0.03125,3,40,19,21,47.5,0.9333333333333333,-0.1
futures,ZB,mean_reversion,0.03125,5,40,22,18,55.00000000000001,1.1411764705882352,0.3
futures,ZB,mean_reversion,0.03125,6,40,22,18,55.00000000000001,1.1354166666666667,0.325
futures,ZB,mean_reversion,0.03125,10,40,22,18,55.00000000000001,0.94375,-0.225
futures,ZB,mean_reversion,0.03125,20,40,27,13,67.5,1.0,0.0
futures,ZB,mean_reversion,0.03125,50,40,30,10,75.0,1.5057471264367817,2.2
futures,ZB,mean_reversion,0.03125,100,40,30,10,75.0,1.3789473684210527,1.8
futures,ZB,mean_reversion,0.03125,200,40,30,10,75.0,1.3936170212765957,1.85
futures,ZB,momentum,0.03125,1,67,16,51,23.88059701492537,0.3137254901960784,-0.5223880597014925
futures,ZB,momentum,0.03125,2,67,27,40,40.298507462686565,0.675,-0.3880597014925373
futures,ZB,momentum,0.03125,3,67,31,36,46.26865671641791,0.8611111111111112,-0.22388059701492538
futures,ZB,momentum,0.03125,5,67,30,37,44.776119402985074,0.8108108108108109,-0.5223880597014925
futures,ZB,momentum,0.03125,6,67,29,38,43.28358208955223,0.7280701754385965,-0.9253731343283582
futures,ZB,momentum,0.03125,10,67,31,36,46.26865671641791,0.68,-1.671641791044776
futures,ZB,momentum,0.03125,20,67,38,29,56.71641791044776,0.6066176470588235,-3.1940298507462686
futures,ZB,momentum,0.03125,50,67,48,19,71.64179104477611,0.793418647166362,-1.6865671641791045
futures,ZB,momentum,0.03125,100,67,48,19,71.64179104477611,1.172972972972973,0.9552238805970149
futures,ZB,momentum,0.03125,200,67,48,19,71.64179104477611,1.1666666666666667,0.9253731343283582
futures,ZN,mean_reversion,0.015625,1,37,11,26,29.72972972972973,0.4230769230769231,-0.40540540540540543
futures,ZN,mean_reversion,0.015625,2,37,15,22,40.54054054054054,0.6818181818181818,-0.3783783783783784
futures,ZN,mean_reversion,0.015625,3,37,15,22,40.54054054054054,0.6818181818181818,-0.5675675675675675
futures,ZN,mean_reversion,0.015625,5,37,19,18,51.35135135135135,0.9666666666666667,-0.08108108108108109
futures,ZN,mean_reversion,0.015625,7,37,23,14,62.16216216216216,1.3571428571428572,0.9459459459459459
futures,ZN,mean_reversion,0.015625,10,37,26,11,70.27027027027027,1.6181818181818182,1.837837837837838
futures,ZN,mean_reversion,0.015625,20,37,31,6,83.78378378378379,1.95,3.081081081081081
futures,ZN,mean_reversion,0.015625,50,37,35,2,94.5945945945946,31.88888888888889,7.513513513513513
futures,ZN,mean_reversion,0.015625,100,37,35,2,94.5945945945946,31.88888888888889,7.513513513513513
futures,ZN,mean_reversion,0.015625,200,37,35,2,94.5945945945946,31.88888888888889,7.513513513513513
futures,ZN,momentum,0.015625,1,71,9,62,12.676056338028168,0.14516129032258066,-0.7464788732394366
futures,ZN,momentum,0.015625,2,71,23,48,32.3943661971831,0.4791666666666667,-0.704225352112676
futures,ZN,momentum,0.015625,3,71,30,41,42.25352112676056,0.7317073170731707,-0.4647887323943662
futures,ZN,momentum,0.015625,5,71,36,35,50.70422535211267,1.0285714285714285,0.07042253521126761
futures,ZN,momentum,0.015625,7,71,38,33,53.52112676056338,1.0606060606060606,0.19718309859154928
futures,ZN,momentum,0.015625,10,71,42,29,59.154929577464785,1.1896551724137931,0.7746478873239436
futures,ZN,momentum,0.015625,20,71,49,22,69.01408450704226,1.1105882352941177,0.6619718309859155
futures,ZN,momentum,0.015625,50,71,60,11,84.50704225352112,1.7867435158501441,3.8450704225352115
futures,ZN,momentum,0.015625,100,71,60,11,84.50704225352112,2.4701195219123506,5.197183098591549
futures,ZN,momentum,0.015625,200,71,60,11,84.50704225352112,3.1313131313131315,5.943661971830986
gold_spot,XAUUSD,mean_reversion,0.01,5,53,1,52,1.8867924528301887,0.019230769230769232,-4.811320754716981
gold_spot,XAUUSD,mean_reversion,0.01,10,53,2,51,3.7735849056603774,0.0392156862745098,-9.245283018867925
gold_spot,XAUUSD,mean_reversion,0.01,20,53,6,47,11.320754716981133,0.1276595744680851,-15.471698113207546
gold_spot,XAUUSD,mean_reversion,0.01,50,53,14,39,26.41509433962264,0.358974358974359,-23.58490566037736
gold_spot,XAUUSD,mean_reversion,0.01,57,53,15,38,28.30188679245283,0.39473684210526316,-24.735849056603772
gold_spot,XAUUSD,mean_reversion,0.01,94,53,25,28,47.16981132075472,0.8928571428571429,-5.320754716981132
gold_spot,XAUUSD,mean_reversion,0.01,100,53,25,28,47.16981132075472,0.8928571428571429,-5.660377358490566
gold_spot,XAUUSD,mean_reversion,0.01,189,53,29,24,54.71698113207547,1.1979717813051163,16.94339622641523
gold_spot,XAUUSD,mean_reversion,0.01,200,53,30,23,56.60377358490566,1.2917391304347843,25.32075471698127
gold_spot,XAUUSD,mean_reversion,0.01,283,53,31,22,58.490566037735846,1.354159974301316,41.60377358490554
