phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol
mean_reversion,307,71.00977198697068,1.1372751603648663,57,46,11,80.7017543859649,80.53465124115466,70.43160010051793,1.5012005189153417,0.8238890943193992,0.07822842356574075,0.5475989649601852,50,1.14,37,1.5405405405405406,futures,6J
mean_reversion,307,70.03257328990227,1.0269565309663653,45,34,11,75.55555555555556,75.43549072369353,63.12858004265913,0.7962867145298319,-0.4358139485917531,0.06186984417965169,0.4330889092575618,41,1.0975609756097562,35,1.2857142857142858,futures,CL
mean_reversion,266,75.56390977443608,1.4414058168466877,35,27,8,77.14285714285715,77.09899749373433,63.559366698436136,1.3482726105153753,0.68127005203102,0.048500245388146304,0.33950171771702414,35,1.0,30,1.1666666666666667,futures,ES
mean_reversion,281,70.46263345195729,0.7834796910290422,46,36,10,78.26086956521739,78.09494964791399,66.39405537428529,0.6645261799283637,-0.866663152920477,0.06327010143847785,0.442890710069345,41,1.1219512195121952,32,1.4375,futures,GC
mean_reversion,305,72.45901639344262,0.9173292656529426,44,37,7,84.0909090909091,83.83242258652095,73.1933042775029,0.6955174535808883,-0.8302244751591492,0.06035665294924554,0.4224965706447188,37,1.1891891891891893,31,1.4193548387096775,futures,HG
mean_reversion,280,73.21428571428571,0.9811312534335564,39,32,7,82.05128205128204,81.83035714285714,70.02729858539095,0.6111149987078571,-1.518519178169393,0.054665712742192174,0.3826599891953452,34,1.1470588235294117,31,1.2580645161290323,futures,NG
mean_reversion,265,72.45283018867924,1.189305045915632,29,25,4,86.20689655172413,85.74842767295597,73.44234870243433,1.0155344004826454,0.034085173516570755,0.04018591760732122,0.2813014232512486,28,1.0357142857142858,22,1.3181818181818181,futures,NQ
mean_reversion,305,71.47540983606558,1.1067516993261848,37,33,4,89.1891891891892,88.7230371009491,78.79557943931005,0.6234065204512047,-1.2566243670279946,0.05079001930363909,0.35553013512547366,35,1.0571428571428572,32,1.15625,futures,RTY
mean_reversion,287,69.33797909407666,0.868682438585634,41,35,6,85.36585365853658,84.98423759747801,74.30685687092637,3.123967273469023,1.2156630702246791,0.05638160721959604,0.39467125053717234,41,1.0,36,1.1388888888888888,futures,SI
mean_reversion,267,72.28464419475655,1.1431659750131402,37,32,5,86.48648648648648,86.11275379459886,75.25935966429032,2.0066812292359177,1.2242981032569393,0.051414923644785414,0.35990446551349786,32,1.15625,24,1.5416666666666667,futures,YM
mean_reversion,297,65.993265993266,0.9700513817193237,39,29,10,74.35897435897436,74.14983164983165,60.74840864462511,1.0396651442062712,0.07329824695638432,0.05422471975204936,0.3795730382643455,36,1.0833333333333333,30,1.3,futures,ZB
mean_reversion,289,68.85813148788927,1.1288107341170865,37,35,2,94.5945945945946,93.91731924968131,86.41588817422898,22.443408348163743,2.051762535285813,0.051170496290427143,0.35819347403299,35,1.0571428571428572,27,1.3703703703703705,futures,ZN
mean_reversion,285,71.2280701754386,0.7852658763256211,53,48,5,90.56603773584906,90.20792722547108,82.3531405494151,1.4205756487722452,0.5897649795023404,0.07289816035302883,0.5102871224712019,51,1.0392156862745099,40,1.325,gold_spot,XAUUSD
