market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
futures,NQ,momentum,long,22939,22940,23014,2024-10-17 18:15:00+00:00,2024-10-17 18:30:00+00:00,2024-10-18 14:00:00+00:00,20393.75,20518.75,500.0,497.0,1.4747774480712166,500,334,3.0,tp,74,56,1.4607142857142859,10.718100890207714
futures,NQ,momentum,short,23197,23198,23212,2024-10-22 13:45:00+00:00,2024-10-22 14:00:00+00:00,2024-10-22 17:30:00+00:00,20461.0,20544.5,-334.0,-337.0,-1.0,500,334,3.0,sl,14,57,1.5241071428571429,12.19287833827893
futures,NQ,momentum,short,23358,23359,23381,2024-10-24 08:00:00+00:00,2024-10-24 08:15:00+00:00,2024-10-24 13:45:00+00:00,20392.25,20342.0,201.0,198.0,0.5875370919881305,500,334,3.0,signal,22,58,1.461293873058579,11.19287833827893
futures,NQ,momentum,short,23395,23396,23450,2024-10-24 17:15:00+00:00,2024-10-24 17:30:00+00:00,2024-10-25 08:00:00+00:00,20358.75,20442.25,-334.0,-337.0,-1.0,500,334,3.0,sl,54,59,1.4855081325669564,11.78041543026706
futures,NQ,momentum,long,23565,23566,23617,2024-10-28 13:45:00+00:00,2024-10-28 14:00:00+00:00,2024-10-29 03:45:00+00:00,20555.75,20472.25,-334.0,-337.0,-1.0,500,334,3.0,sl,51,59,1.3863049095607236,9.759643916913944
forex,AUDUSD,momentum,short,24809,24810,24906,2024-10-30 13:45:00+00:00,2024-10-30 14:00:00+00:00,2024-10-31 14:00:00+00:00,0.65899998,0.65490001,40.99970000000064,38.99970000000064,0.3823500000000062,150,100,2.0,signal,96,58,2.5697605090690425,5.294101960784329
forex,AUDUSD,momentum,short,24915,24916,25242,2024-10-31 16:15:00+00:00,2024-10-31 16:30:00+00:00,2024-11-06 03:00:00+00:00,0.6559,0.6552,7.000000000000339,5.000000000000339,0.0490196078431405,150,100,2.0,signal,326,59,2.6831315652157657,5.676451960784335
futures,NQ,momentum,short,23934,23935,23945,2024-11-01 14:00:00+00:00,2024-11-01 14:15:00+00:00,2024-11-01 16:45:00+00:00,20215.25,20198.25,68.0,65.0,0.1928783382789317,500,334,3.0,signal,10,59,1.3863049095607236,9.759643916913944
futures,NQ,momentum,short,23975,23976,24016,2024-11-04 02:15:00+00:00,2024-11-04 02:30:00+00:00,2024-11-04 12:30:00+00:00,20227.5,20102.5,500.0,497.0,1.4747774480712166,500,334,3.0,tp,40,60,1.393939393939394,9.952522255192877
futures,NQ,momentum,short,24030,24031,24033,2024-11-04 16:00:00+00:00,2024-11-04 16:15:00+00:00,2024-11-04 16:45:00+00:00,20214.0,20089.0,500.0,497.0,1.4747774480712166,500,334,3.0,tp,2,60,1.4283533004463238,10.821958456973292
