market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,key,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key
futures,CL,momentum,short,336287,336288,336292,2024-09-05 14:45:00+00:00,2024-09-05 15:00:00+00:00,2024-09-05 16:00:00+00:00,70.56,69.42,114.00000000000006,111.00000000000006,0.2206759443339961,500.0,500.0,3.0,signal,4,CL:momentum,2.0,1.0,222.0000000000001,1006.0,1000.0,2024-09-05
futures,RTY,ict_sweep_fvg,long,17347,17357,17357,2024-09-05 16:45:00+00:00,2024-09-05 19:15:00+00:00,2024-09-05 19:15:00+00:00,2136.3,2138.9,25.99999999999909,22.99999999999909,0.7931034482758555,25.99999999999909,25.99999999999909,3.0,tp,0,RTY:ict_sweep_fvg,40.0,0.5,459.9999999999818,579.9999999999818,519.9999999999818,2024-09-05
futures,NQ,momentum,short,333819,333820,333822,2024-09-06 12:45:00+00:00,2024-09-06 13:00:00+00:00,2024-09-06 13:30:00+00:00,18933.25,18895.75,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,2,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2024-09-06
futures,CL,ict_sweep_fvg,short,17538,17542,17542,2024-09-09 05:30:00+00:00,2024-09-09 06:30:00+00:00,2024-09-09 06:30:00+00:00,68.44,68.33,10.999999999999943,7.999999999999943,1.0,10.999999999999943,10.999999999999943,3.0,tp,0,CL:ict_sweep_fvg,35.0,1.0,279.999999999998,489.999999999998,384.999999999998,2024-09-09
futures,CL,ict_sweep_fvg,short,17557,17559,17559,2024-09-09 10:15:00+00:00,2024-09-09 10:45:00+00:00,2024-09-09 10:45:00+00:00,68.28,68.15,12.999999999999543,9.999999999999543,1.0,12.999999999999543,12.999999999999543,3.0,tp,0,CL:ict_sweep_fvg,35.0,1.0,349.999999999984,559.999999999984,454.999999999984,2024-09-09
futures,CL,ict_sweep_fvg,short,17567,17573,17573,2024-09-09 12:45:00+00:00,2024-09-09 14:15:00+00:00,2024-09-09 14:15:00+00:00,68.23,68.0,23.0000000000004,20.0000000000004,1.0,23.0000000000004,23.0000000000004,3.0,tp,0,CL:ict_sweep_fvg,35.0,1.0,700.0000000000141,910.0000000000141,805.0000000000141,2024-09-09
futures,GC,ict_sweep_fvg,short,17616,17625,17625,2024-09-10 07:30:00+00:00,2024-09-10 09:45:00+00:00,2024-09-10 09:45:00+00:00,2534.8,2532.7000000000003,20.99999999999909,17.99999999999909,1.0,20.99999999999909,20.99999999999909,3.0,tp,0,GC:ict_sweep_fvg,15.0,1.0,269.99999999998636,359.99999999998636,314.99999999998636,2024-09-10
futures,GC,ict_sweep_fvg,short,17641,17645,17645,2024-09-10 13:45:00+00:00,2024-09-10 14:45:00+00:00,2024-09-10 14:45:00+00:00,2537.1000000000004,2534.7000000000003,24.00000000000091,21.00000000000091,1.0000000000002165,24.00000000000091,23.99999999999636,3.0,tp,0,GC:ict_sweep_fvg,15.0,1.0,315.00000000001364,404.9999999999454,360.00000000001364,2024-09-10
futures,CL,momentum,short,336659,336660,337149,2024-09-11 15:45:00+00:00,2024-09-11 16:00:00+00:00,2024-09-19 00:15:00+00:00,67.3,69.55,-225.0,-228.0,-0.4532803180914513,500.0,500.0,3.0,signal,489,CL:momentum,2.0,1.0,-456.0,1006.0,1000.0,2024-09-11
futures,NQ,ict_sweep_fvg,short,17703,17713,17713,2024-09-11 13:30:00+00:00,2024-09-11 16:00:00+00:00,2024-09-11 16:00:00+00:00,18867.25,18827.75,158.0,155.0,1.0,158.0,158.0,3.0,tp,0,NQ:ict_sweep_fvg,15.0,0.5,1162.5,1207.5,1185.0,2024-09-11
